id,url,owner_id,name,description,language,created_at,forked_from,deleted,updated_at,forked_commit_id
15430259,https://api.github.com/repos/chef/chef,1614412,chef,"A systems integration framework, built to bring the benefits of configuration management to your entire infrastructure.",Ruby,2009-01-15 20:40:48,,f,2019-05-31 19:44:08,
10045,https://api.github.com/repos/akka/akka,38162,akka,Akka Project,Scala,2009-02-16 12:51:54,,f,2019-05-31 16:10:17,
2413243,https://api.github.com/repos/vanilla/vanilla,163826,Vanilla,Vanilla is a powerfully simple discussion forum you can easily customize to make as unique as your community.,PHP,2009-06-21 01:41:25,,f,2019-05-31 14:34:11,
2281,https://api.github.com/repos/gradle/gradle,11052,gradle,A powerful build system for the JVM,Java,2009-09-09 18:27:19,,f,2019-05-31 14:07:20,
569165,https://api.github.com/repos/ccnmtl/mediathread,224557,mediathread,Django site for multimedia annotations facilitating collaboration on video and image analysis. Developed at the Columbia Center for New Media Teaching and Learning,JavaScript,2010-01-06 20:45:48,,f,2019-05-30 18:08:25,
9316,https://api.github.com/repos/cakephp/cakephp,10016,cakephp,CakePHP: The Rapid Development Framework for PHP - Official Repository,PHP,2010-05-08 14:38:22,,f,2019-05-31 04:22:24,
1554,https://api.github.com/repos/Graylog2/graylog2-server,8708,graylog2-server,Free and open source log management,Java,2010-05-17 21:27:02,,f,2019-05-31 15:04:39,
29123233,https://api.github.com/repos/highcharts/highcharts,10625925,highcharts,"Highcharts JS, the JavaScript charting framework",JavaScript,2010-06-11 12:23:53,,f,2019-05-31 05:35:55,
15985,https://api.github.com/repos/gem/oq-engine,50166,oq-engine,OpenQuake's Engine for Seismic Hazard and Risk Analysis,Python,2010-06-28 14:59:42,,f,2019-05-31 09:05:55,
2602,https://api.github.com/repos/mono/monodevelop,4394,monodevelop,MonoDevelop is a cross platform IDE mostly aimed at Mono/.NET developers,C#,2010-07-22 16:09:08,,f,2019-05-31 08:00:01,
181526,https://api.github.com/repos/getsentry/sentry,265517,sentry,Sentry is cross-platform crash reporting built with love,Python,2010-08-30 22:06:41,,f,2019-05-31 17:22:09,
252,https://api.github.com/repos/rstudio/rstudio,1904,rstudio,RStudio is an integrated development environment (IDE) for R,Java,2010-12-07 19:10:25,,f,2019-05-31 05:56:38,
8804952,https://api.github.com/repos/SonarSource/sonarqube,36234,sonarqube,Put your technical debt under control,Java,2011-01-05 11:05:17,,f,2019-05-31 07:52:36,
16282,https://api.github.com/repos/tablexi/nucore-open,56554,nucore-open,Northwestern University Core Facility Management Software (NUCore),Ruby,2011-03-04 13:45:37,,f,2019-05-30 13:01:50,
1823,https://api.github.com/repos/openscholar/openscholar,9573,openscholar,OpenScholar project ,PHP,2011-03-04 16:39:08,,f,2019-05-31 08:08:58,
15369,https://api.github.com/repos/devlab-oy/pupesoft,54204,pupesoft,"Suomalainen, avoimen lähdekoodin, toiminnanohjausjärjestelmä PK-yrityksille.",PHP,2011-04-12 05:26:18,,f,2019-05-31 07:14:21,
6093,https://api.github.com/repos/JuliaLang/julia,26434,julia,The Julia Language: A fresh approach to technical computing.,Julia,2011-04-21 07:01:50,,f,2019-05-31 12:59:24,
3216686,https://api.github.com/repos/rackerlabs/repose,1786453,repose,"The powerful, programmable, API Middleware Platform",Java,2011-07-01 04:39:34,,f,2019-05-28 14:13:23,
46771053,https://api.github.com/repos/woocommerce/woocommerce,31258295,woocommerce,An open source eCommerce plugin for WordPress.,PHP,2011-08-09 15:12:11,,f,2019-05-31 21:05:27,
8992,https://api.github.com/repos/NuGet/NuGetGallery,35145,NuGetGallery,The NuGet Gallery,C#,2011-08-09 17:57:32,,f,2019-05-31 18:14:35,
17694,https://api.github.com/repos/ceph/ceph,22729,ceph,"Ceph is a distributed object, block, and file storage platform ",C++,2011-09-01 21:41:26,,f,2019-05-31 14:21:58,
9384,https://api.github.com/repos/wp-cli/wp-cli,36298,wp-cli,A command line interface for WordPress,PHP,2011-09-10 12:51:59,,f,2019-05-31 04:26:10,
9204,https://api.github.com/repos/VoltDB/voltdb,7028,voltdb,VoltDB,Java,2011-09-23 18:46:12,,f,2019-05-31 21:21:36,
7037358,https://api.github.com/repos/quintel/etsource,1002101,etsource,Data source for the Energy Transition Model,Ruby,2011-10-03 12:58:51,,f,2019-05-29 13:01:58,
