project__name,tw_size,tw_quantity,tw_with_pc_percentage,tw_improves_cr_quantity,tw_equal_cr_quantity,tw_improves_ipe_quantity,tw_equal_ipe_quantity,tw_worsen_ipe_quantity,cr_improvement_percentage_min,cr_improvement_percentage_mean,cr_improvement_percentage_std,cr_improvement_percentage_max,ipe_improvement_percentage_min,ipe_improvement_percentage_mean,ipe_improvement_percentage_std,ipe_improvement_percentage_max
stringex,7,450,0.22,0,1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
stringex,14,225,0.44,0,1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
stringex,28,113,0.88,0,1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
stringex,60,53,1.89,0,1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
stringex,90,35,2.86,0,1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
chef,7,260,1.92,2,3,4,1,0,0.00,120.00,178.89,400.00,0.00,39.76,25.92,64.97
chef,14,130,4.62,2,4,5,1,0,0.00,100.00,167.33,400.00,0.00,32.58,41.43,114.29
chef,28,65,7.69,3,2,5,0,0,0.00,130.00,120.42,250.00,34.78,81.37,35.34,120.51
chef,60,31,19.35,3,3,6,0,0,0.00,133.33,196.64,500.00,0.21,287.74,408.71,842.86
chef,90,21,23.81,3,2,5,0,0,0.00,140.00,151.66,300.00,1.85,463.35,606.68,1385.71
akka,7,454,5.51,16,9,24,1,0,0.00,114.00,151.74,600.00,0.00,127.00,158.68,700.00
akka,14,227,9.25,15,6,21,0,0,0.00,166.67,201.45,800.00,9.26,250.05,403.69,1700.00
akka,28,114,14.04,13,3,16,0,0,0.00,202.08,181.54,500.00,7.92,106.82,108.05,409.76
akka,60,53,16.98,8,1,9,0,0,0.00,377.78,257.53,700.00,35.76,139.38,129.21,448.76
akka,90,36,22.22,7,1,8,0,0,0.00,460.42,350.73,900.00,13.06,94.46,65.00,217.65
Vanilla,7,330,16.06,32,21,46,3,4,0.00,140.57,169.86,700.00,-13.98,134.46,195.02,900.00
Vanilla,14,165,29.09,32,16,46,2,0,0.00,178.65,212.82,900.00,0.00,202.69,416.81,2166.67
Vanilla,28,83,36.14,27,3,30,0,0,0.00,342.50,254.37,900.00,9.09,173.88,430.52,2400.00
Vanilla,60,39,46.15,18,0,18,0,0,100.00,561.11,312.28,1300.00,6.43,103.81,86.80,254.92
Vanilla,90,26,50.00,13,0,13,0,0,100.00,751.92,360.33,1500.00,4.64,114.33,122.64,378.44
gradle,7,448,6.03,13,14,24,3,0,0.00,90.12,128.62,500.00,0.00,109.88,117.99,412.50
gradle,14,224,9.38,10,11,18,3,0,0.00,125.40,174.05,550.00,0.00,130.30,141.51,500.00
gradle,28,112,16.96,10,9,16,3,0,0.00,159.65,235.92,700.00,0.00,98.58,188.37,840.00
gradle,60,53,26.42,8,6,12,2,0,0.00,217.86,302.30,800.00,0.00,68.01,108.85,420.00
gradle,90,35,37.14,8,5,12,1,0,0.00,257.69,318.75,800.00,0.00,90.02,94.70,325.71
simple_form,7,437,0.69,0,3,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
simple_form,14,219,1.37,0,3,2,1,0,0.00,0.00,0.00,0.00,0.00,66.67,57.74,100.00
simple_form,28,110,2.73,1,2,3,0,0,0.00,33.33,57.74,100.00,33.33,55.55,38.49,100.00
simple_form,60,51,7.84,1,3,4,0,0,0.00,25.00,50.00,100.00,76.47,150.79,52.54,200.00
simple_form,90,34,8.82,1,2,3,0,0,0.00,33.33,57.74,100.00,56.52,363.28,388.40,800.00
mediathread,7,386,3.37,6,7,11,2,0,0.00,53.85,66.02,200.00,0.00,63.35,67.32,250.00
mediathread,14,193,6.74,6,7,12,1,0,0.00,76.92,101.27,300.00,0.00,78.10,61.89,200.00
mediathread,28,97,12.37,6,6,11,1,0,0.00,100.00,134.84,400.00,0.00,118.86,213.98,766.67
mediathread,60,46,23.91,6,5,10,1,0,0.00,118.18,147.09,400.00,0.00,566.93,1736.31,5800.00
mediathread,90,31,38.71,6,6,11,1,0,0.00,116.67,169.67,500.00,0.00,188.38,288.57,1060.00
cakephp,7,442,0.45,0,2,2,0,0,0.00,0.00,0.00,0.00,20.00,360.00,480.83,700.00
cakephp,14,221,0.90,0,2,2,0,0,0.00,0.00,0.00,0.00,43.75,141.88,138.77,240.00
cakephp,28,111,1.80,0,2,2,0,0,0.00,0.00,0.00,0.00,17.50,42.09,34.77,66.67
cakephp,60,52,7.69,0,4,4,0,0,0.00,0.00,0.00,0.00,7.81,69.70,80.92,180.56
cakephp,90,35,11.43,2,2,4,0,0,0.00,50.00,57.74,100.00,54.20,91.83,63.20,186.36
graylog2-server,7,432,0.69,0,3,1,2,0,0.00,0.00,0.00,0.00,0.00,133.33,230.94,400.00
graylog2-server,14,216,0.93,1,1,1,1,0,0.00,25.00,35.36,50.00,0.00,30.81,43.56,61.61
graylog2-server,28,108,1.85,1,1,2,0,0,0.00,25.00,35.36,50.00,66.67,121.28,77.23,175.89
graylog2-server,60,51,3.92,1,1,2,0,0,0.00,25.00,35.36,50.00,33.33,52.80,27.53,72.26
graylog2-server,90,34,5.88,1,1,1,1,0,0.00,25.00,35.36,50.00,0.00,59.30,83.86,118.60
highcharts,7,157,4.46,1,6,6,1,0,0.00,14.29,37.80,100.00,0.00,54.19,41.32,116.67
highcharts,14,79,8.86,2,5,6,1,0,0.00,21.43,39.34,100.00,0.00,76.58,78.93,196.24
highcharts,28,40,17.50,3,4,7,0,0,0.00,30.95,41.31,100.00,4.35,68.75,53.35,161.54
highcharts,60,19,26.32,2,3,5,0,0,0.00,43.33,72.27,166.67,1.96,125.84,123.57,291.67
highcharts,90,13,38.46,2,3,5,0,0,0.00,66.67,102.74,233.33,56.00,164.99,101.74,308.70
oq-engine,7,437,24.26,57,49,90,10,6,0.00,93.71,125.68,700.00,-39.24,101.46,166.27,1100.00
oq-engine,14,219,36.53,53,27,71,4,5,0.00,158.13,169.78,800.00,-32.45,140.22,258.92,1900.00
oq-engine,28,110,47.27,43,9,51,0,1,0.00,275.80,219.12,1000.00,-8.75,124.94,251.90,1700.00
oq-engine,60,51,58.82,28,2,30,0,0,0.00,492.22,332.49,1400.00,6.82,126.34,133.34,642.11
oq-engine,90,34,61.76,20,1,21,0,0,0.00,673.41,455.72,1900.00,16.76,96.73,101.65,460.00
